IDs,title,fol_or_p
A-Wn_Cod._9704_n01,[Mein einigs A] (Mein einiges A),1r
A-Wn_Cod._9704_n02,[Madonna Katharina] (Madonna Katharina),3r-3v
A-Wn_Cod._9704_n03,Wann Ich Bedennckh (Wenn ich bedenke),4r-4v
A-Wn_Cod._9704_n04,Es flog ein klains woldt fangelein (Es flog ein kleines Waldvögelein),5r-5v
A-Wn_Cod._9704_n05,Madunna Katherina (Madonna Katharina),5v-6v
A-Wn_Cod._9704_n06,Marúsca Danntz (Moresca),7r-7v
A-Wn_Cod._9704_n07,Zeiner dannz (Zeiner Tanz),8r-8v
A-Wn_Cod._9704_n08,Woll aúff gesellen von hynnen (Wohl auf Gesellen von hinnen),9r-9v
A-Wn_Cod._9704_n09,Vicin vicin (Vicin vicin),10r-10v
A-Wn_Cod._9704_n10,Wer des wein nit trinckhen mag (Wer des Weins nit trinken mag),11r-11v
A-Wn_Cod._9704_n11,Mein hertz das ist bekhummert ser (Mein Herz das ist bekümmert sehr),12r-12v
A-Wn_Cod._9704_n12,Es ist ain schne gefallen (Es ist ein Schnee gefallen),13r-13v
A-Wn_Cod._9704_n13,Die prasser die prasser (Die Prasser die Prasser),13v-14r
A-Wn_Cod._9704_n14,Wach aúff mein Schóne (Wache auf meine Schöne),14v-15r
A-Wn_Cod._9704_n15,Schreyber in karb (Schreiber im Korb),15r
A-Wn_Cod._9704_n16,[Schreyber in karb] Pars extra (Schreiber im Korb),15r_4
A-Wn_Cod._9704_n17,diminútio (Diminutio),16r-17r
A-Wn_Cod._9704_n18,Nach willen dein (Nach Willen dein),17v-18r
A-Wn_Cod._9704_n19,Vngnadt beger Ich nit (Ungnade begehre ich nicht von ihr),20r-21r
A-Wn_Cod._9704_n20,Hast dú mich genúmen od[er] madonna katherina (Hast Du mich genommen),21v-22v
A-Wn_Cod._9704_n21,Saphica (Saphica),23r-23v
A-Wn_Cod._9704_n22,Nach willen deinem: princi[pium] (Nach Willen dein),23v
A-Wn_Cod._9704_n23,Ode prima Mecenas attaúis (Maecenas atavis),24v-25r
A-Wn_Cod._9704_n24,Ode .2. Jam satis terris (Jam satis terris),25r-25v
A-Wn_Cod._9704_n25,Ode .3. Sic te diúa potens Cypri (Sic te diva potens Cypri),25v-26r
A-Wn_Cod._9704_n26,[Ode .4. Solvitur acris hiems] (Solvitur acris hiems),26r-26v
A-Wn_Cod._9704_n27,Ode .5. Qúis múlta gracilis (Quis multa gracilis),26v-27v
A-Wn_Cod._9704_n28,[untitled: fragment] ([untitled: fragment]),27r_1
A-Wn_Cod._9704_n29,Ode .6. Scriberis vario (Scriberis vario),27v-28v
A-Wn_Cod._9704_n30,Zart Schónste Fraw (Zarte schöne Frau),28v-30r
A-Wn_Cod._9704_n31,Elslein liebes Elslein mein (Elslein),30r
A-Wn_Mus.Hs._18688_n01,Bassa Tantz Francesco Spinacino (Basse danse),1v-5r
A-Wn_Mus.Hs._18688_n02,[Coree Rosina] (Coree),5v
